user_id,item_idx,asin,interaction_type,weight,timestamp
0,1205,B0C8GJH5XT,click,2.0,2025-02-02 07:38:00
0,715,B0CGQKF8GF,view,1.0,2025-03-30 17:22:00
0,3535,B0751PSV1L,purchase,5.0,2025-01-16 15:56:00
0,361,B0C62SSHMZ,view,1.0,2025-01-12 04:36:00
0,893,B005IEH4RU,click,2.0,2025-01-19 15:15:00
0,4432,B0BBRYFZ4V,view,1.0,2025-01-24 19:10:00
0,3933,B09JS56SSX,view,1.0,2025-03-30 02:24:00
0,1987,B0B9H7L76Q,click,2.0,2025-02-04 15:40:00
0,538,B0CG63C6HN,click,2.0,2025-01-21 15:19:00
0,1563,B0C8GJQGK1,view,1.0,2025-01-17 00:47:00
0,416,B0CH8YLXWQ,click,2.0,2025-01-30 05:37:00
0,1563,B0C8GJQGK1,view,1.0,2025-01-21 00:27:00
0,2828,B09YV7K7GV,click,2.0,2025-03-02 15:18:00
0,4426,B0CDLXSN89,view,1.0,2025-01-30 13:52:00
0,3702,B083G2N7H4,view,1.0,2025-02-15 20:30:00
0,4281,B07VHDYJL5,click,2.0,2025-03-26 22:32:00
0,1987,B0B9H7L76Q,view,1.0,2025-02-23 02:39:00
0,2379,B08MWNDXPW,view,1.0,2025-01-23 01:26:00
0,1328,B07R1W4QL6,view,1.0,2025-02-02 08:42:00
0,2660,B09RMBBZGV,click,2.0,2025-01-26 02:49:00
0,4577,B094DMW6TH,click,2.0,2025-02-26 03:44:00
0,1563,B0C8GJQGK1,view,1.0,2025-01-16 13:11:00
0,148,B00U6E86B0,view,1.0,2025-02-01 22:21:00
0,416,B0CH8YLXWQ,view,1.0,2025-03-27 16:51:00
0,3846,B0C4VDDN4J,view,1.0,2025-03-01 04:32:00
0,1219,B0C27XF3W9,view,1.0,2025-03-09 05:44:00
0,1764,B09KTSN2NN,view,1.0,2025-02-24 07:51:00
0,1764,B09KTSN2NN,purchase,5.0,2025-03-04 18:27:00
0,1148,B09TYVZ6HS,purchase,5.0,2025-03-03 22:08:00
0,137,B0C6THP2HG,click,2.0,2025-01-01 14:33:00
0,875,B0CHDCKJKT,view,1.0,2025-01-01 15:38:00
0,885,B0CHRVYDRW,view,1.0,2025-03-08 11:25:00
0,3770,B0775Q6K49,purchase,5.0,2025-01-29 13:27:00
1,3347,B093GQ6NF6,view,1.0,2025-02-02 20:19:00
1,2858,B09BCNGVNX,purchase,5.0,2025-02-15 02:05:00
1,3503,B0BXWYB6P6,view,1.0,2025-03-07 09:55:00
1,2655,B06WP5BDTV,purchase,5.0,2025-02-02 21:00:00
1,2528,B0BS6Z5JTX,purchase,5.0,2025-03-26 21:58:00
1,4249,B00BM65T84,click,2.0,2025-01-01 20:47:00
1,3782,B07L5D7J5X,view,1.0,2025-01-05 05:02:00
1,69,B0BKGZTQ61,view,1.0,2025-03-15 09:18:00
1,2520,B0035WOL2S,click,2.0,2025-01-01 18:44:00
1,2822,B08LPT7TCW,view,1.0,2025-02-01 01:27:00
1,1545,B008I204LM,view,1.0,2025-02-03 21:53:00
1,1377,B000QUWHIM,view,1.0,2025-01-05 16:47:00
1,2528,B0BS6Z5JTX,view,1.0,2025-01-14 01:10:00
1,401,B007RDGHPU,view,1.0,2025-02-07 17:33:00
1,2528,B0BS6Z5JTX,click,2.0,2025-03-04 01:51:00
1,2822,B08LPT7TCW,view,1.0,2025-01-30 22:41:00
1,4787,B00OLN1CPE,purchase,5.0,2025-02-25 16:09:00
1,397,B08Y1ZCGYP,purchase,5.0,2025-01-06 20:01:00
1,2141,B084KB9TN5,view,1.0,2025-03-16 18:46:00
1,2858,B09BCNGVNX,purchase,5.0,2025-01-16 07:03:00
1,4651,B0BR45YDZ5,view,1.0,2025-01-27 17:57:00
1,4930,B09GVYB8FJ,purchase,5.0,2025-02-11 21:20:00
1,69,B0BKGZTQ61,view,1.0,2025-03-31 13:33:00
1,2435,B07NK49LFR,click,2.0,2025-01-26 14:56:00
1,2141,B084KB9TN5,view,1.0,2025-03-02 16:25:00
1,478,B07FR624N2,view,1.0,2025-02-21 14:46:00
1,2520,B0035WOL2S,view,1.0,2025-03-28 13:23:00
1,367,B00NVLMQQ6,purchase,5.0,2025-01-07 02:46:00
1,3706,B08244CHBP,purchase,5.0,2025-01-18 05:34:00
1,69,B0BKGZTQ61,click,2.0,2025-02-08 16:38:00
1,2167,B00TDLE8HI,click,2.0,2025-01-13 19:24:00
1,4651,B0BR45YDZ5,view,1.0,2025-01-18 14:35:00
1,4277,B07DKFKQN6,view,1.0,2025-02-09 16:43:00
